Steps, Ascent, MetabolicCalories, Distance, Duration, Feature?, SleepLevel
36,0,1.009,26.559,60,0.829,0
35,0,1.059,26.51,60,0.829,0
18,0,0.5,13.5,60,0.419,0
116,0,3.589,89.76,60,2.829,0
120,0,3.75,95.11,60,3,0
119,0,3.69,93.389,60,2.95,0
32,0,0.92,24.04,60,0.75,0
120,0,3.759,95.69,60,3.009,0
92,0,2.869,72.949,60,2.299,0
99,0,2.99,76.54,60,2.42,0
13,0,0.36,9.939,60,0.31,0
15,0,0.4,11.39,60,0.349,0
20,0,0.529,13.909,60,0.43,0
15,0,0.389,11.09,60,0.349,0
11,0,0.3,7.809,60,0.239,0
13,0,0.31,8.369,60,0.259,0
20,0,0.529,13.949,60,0.439,0
9,0,0.2,6.269,60,0.189,0
42,0,1.22,30.75,60,0.97,0
30,0,0.879,22.19,60,0.699,0
63,0,1.899,48.209,60,1.519,0
7,0,0.2,5.71,60,0.18,0
6,0,0.119,3.519,60,0.109,0
60,0,1.75,44.779,60,1.409,0
76,0,2.259,56.729,60,1.789,0
10,0,0.28,6.73,60,0.209,0
14,0,0.379,10.109,60,0.31,0
6,0,0.14,4.15,60,0.129,0
6,0,1.122,4.07,60,0.128,0
12,0,0.33,8.47,60,0.259,0
11,0,0.28,7.179,60,0.219,0
8,0,0.189,5.329,60,0.159,0
24,0,0.589,16.45,60,0.509,0
6,0,0.189,6.01,60,0.18,0
6,0,0.15,4.559,60,0.14,0
7,0,0.17,5.369,60,0.159,0
9,0,0.209,5.989,60,0.18,0
0,0,0,0,1020,0,1
0,0,0,0,2220,0,2
0,0,0,0,720,0,1
0,0,0,0,960,0,2
0,0,0,0,2760,0,1
0,0,0,0,3180,0,2
0,0,0,0,1380,0,1
0,0,0,0,240,0,2
0,0,0,0,1380,0,1
0,0,0,0,4560,0,2
0,0,0,0,540,0,2
0,0,0,0,840,0,1
0,0,0,0,3060,0,2
0,0,0,0,540,0,1
0,0,0,0,540,0,0
0,0,0,0,1200,0,1
0,0,0,0,600,0,0
6,0,1.133,4.46,60,0.141,0
9,0,1.184,6.15,60,0.194,0
9,0,1.173,5.78,60,0.182,0
14,0,1.27,9.01,60,0.284,0
6,0,1.133,4.46,60,0.141,0
